Date,Adj Close,Close,High,Low,Open,Volume,return,log_return
2012-07-26,60.956,88.550,88.870,87.960,88.650,1356800,0.992,0.010
2012-07-27,62.092,90.200,90.510,88.650,88.740,1495600,1.863,0.018
2012-07-30,61.321,89.080,89.850,88.780,89.590,1482300,-1.242,-0.012
2012-07-31,61.451,89.270,89.610,88.970,89.180,2256200,0.213,0.002
2012-08-01,61.238,88.960,90.000,88.800,89.860,3683000,-0.347,-0.003
2012-08-02,60.887,88.450,88.830,87.470,88.740,1395600,-0.573,-0.006
2012-08-03,61.534,89.390,89.560,88.470,89.430,1046300,1.063,0.011
2012-08-06,61.259,88.990,89.840,88.940,89.610,837900,-0.448,-0.004
2012-08-07,62.174,90.320,90.500,89.120,89.440,1330200,1.495,0.015
2012-08-08,62.567,90.890,91.000,89.710,90.250,1084200,0.631,0.006
2012-08-09,62.326,90.540,90.630,90.000,90.480,1066900,-0.385,-0.004
2012-08-10,62.663,91.030,91.150,90.200,90.350,1010900,0.541,0.005
2012-08-13,62.725,91.120,91.180,90.540,90.710,1079700,0.099,0.001
2012-08-14,62.883,91.350,91.680,90.900,91.190,1086300,0.252,0.003
2012-08-15,62.993,91.510,91.690,90.720,90.990,763400,0.175,0.002
2012-08-16,63.365,92.050,92.240,91.330,91.520,4808000,0.590,0.006
2012-08-17,63.606,92.400,92.500,91.780,92.340,1574200,0.380,0.004
2012-08-20,64.239,93.320,93.500,92.120,92.120,1570200,0.996,0.010
2012-08-21,64.570,93.800,93.990,93.110,93.710,1868700,0.514,0.005
2012-08-22,64.040,93.030,93.500,92.670,93.470,1614100,-0.821,-0.008
2012-08-23,63.468,92.200,93.000,91.700,93.000,1423600,-0.892,-0.009
2012-08-24,63.640,92.450,92.680,91.700,91.760,1483800,0.271,0.003
2012-08-27,63.523,92.280,93.000,92.210,92.640,945600,-0.184,-0.002
2012-08-28,63.661,92.480,92.700,91.380,91.860,1817900,0.217,0.002
2012-08-29,63.276,91.920,92.750,91.820,92.550,969800,-0.606,-0.006
2012-08-30,63.283,90.930,91.320,90.520,91.030,908300,0.011,0.000
2012-08-31,63.429,91.140,91.760,90.770,91.370,1087400,0.231,0.002
